UNITUPI,NAMAUNITUPI,UNITAP,NAMAUNITAP,UNITUP,NAMAUNITUP,KD_PROV,NAMA_PROV,KD_KAB,NAMA_KAB,KD_KEC,NAMA_KEC,KD_DESA,NAMA_DESA,STATUS_DAERAH_3T,x
11,ACEH,11LSM,LHOKSEUMAWE,11229,TAKENGON,11,ACEH,1104,KAB. ACEH TENGAH,110420,BIES,1104202001,BIES PENENTANAN,TIDAK,"4.623165780234477, 96.80021631361"
11,ACEH,11LSM,LHOKSEUMAWE,11229,TAKENGON,11,ACEH,1104,KAB. ACEH TENGAH,110420,BIES,1104202002,BIES BARU,TIDAK,"4.616258403042058, 96.80571750616738"
11,ACEH,11LSM,LHOKSEUMAWE,11229,TAKENGON,11,ACEH,1104,KAB. ACEH TENGAH,110420,BIES,1104202003,BIES MULIE,TIDAK,"4.616699540011042, 96.80053030044141"
11,ACEH,11LSM,LHOKSEUMAWE,11229,TAKENGON,11,ACEH,1104,KAB. ACEH TENGAH,110420,BIES,1104202004,ARU LATONG,TIDAK,"4.614082523410197, 96.7922421063603"
11,ACEH,11LSM,LHOKSEUMAWE,11229,TAKENGON,11,ACEH,1104,KAB. ACEH TENGAH,110420,BIES,1104202005,SIMPANG LUKUP BADAK,TIDAK,"4.5965381380088415, 96.80171128874012"
11,ACEH,11LSM,LHOKSEUMAWE,11229,TAKENGON,11,ACEH,1104,KAB. ACEH TENGAH,110420,BIES,1104202006,ATANG JUNGKET,TIDAK,"4.595653184224819, 96.79829681481074"
11,ACEH,11LSM,LHOKSEUMAWE,11229,TAKENGON,11,ACEH,1104,KAB. ACEH TENGAH,110420,BIES,1104202007,TEBES LUES,TIDAK,"4.607548326462569, 96.78687924508003"
11,ACEH,11LSM,LHOKSEUMAWE,11229,TAKENGON,11,ACEH,1104,KAB. ACEH TENGAH,110420,BIES,1104202008,PUCUK DEKU,TIDAK,"4.602331821965275, 96.77499352165762"
11,ACEH,11LSM,LHOKSEUMAWE,11229,TAKENGON,11,ACEH,1104,KAB. ACEH TENGAH,110420,BIES,1104202009,LENGA,TIDAK,"4.601397491544836, 96.77535555755577"
11,ACEH,11LSM,LHOKSEUMAWE,11229,TAKENGON,11,ACEH,1104,KAB. ACEH TENGAH,110420,BIES,1104202010,UNING PEGANTUNGEN,TIDAK,"4.616998938890625, 96.81190628595604"
11,ACEH,11LSM,LHOKSEUMAWE,11229,TAKENGON,11,ACEH,1104,KAB. ACEH TENGAH,110420,BIES,1104202011,SIMPANG UNING NIKEN,TIDAK,"4.606161302614617, 96.80417982682926"
11,ACEH,11LSM,LHOKSEUMAWE,11229,TAKENGON,11,ACEH,1104,KAB. ACEH TENGAH,110420,BIES,1104202012,KARANG BAYUR,TIDAK,"4.598004178523875, 96.79563364886677"
11,ACEH,11LSM,LHOKSEUMAWE,11229,TAKENGON,11,ACEH,1104,KAB. ACEH TENGAH,110421,RUSIP ANTARA,1104212001,PANTAN TENGAH,TIDAK,"4.6457579946662975, 96.57676336444763"
11,ACEH,11LSM,LHOKSEUMAWE,11229,TAKENGON,11,ACEH,1104,KAB. ACEH TENGAH,110421,RUSIP ANTARA,1104212002,RUSIP,TIDAK,"4.624361448459378, 96.63190241786842"
