UNIT UP,NOMOR GARDU,NAMA GARDU,ALAMAT,LATITUDE,LONGITUDE,KAPASITAS TRAFO (kVA),FEEDER,Pemakaian (%),I rata-rata (A),Unbalanced (%),Update
11220 - LHOKSEUMAWE,GD112200295,BAS001-00, KTR.PLN LAMA I ,5.183381,97.147728,315,,,,,
11220 - LHOKSEUMAWE,GD112200324,BAS002-00, SP.PERTAMINA I ,5.192425,97.14686,200,,,,,
11220 - LHOKSEUMAWE,GD112200296,BAS003-00, GG. DAMAI ,5.18633,97.146371,100,,,,,
11220 - LHOKSEUMAWE,GD112200330,BAS004-00, SP.RUMAH KAPOLRES I  ,5.184401,97.150058,100,,,,,
11220 - LHOKSEUMAWE,GD112200331,BAS005-00, JL.SUKARAMAI ,5.177285,97.149792,250,,,,,
11220 - LHOKSEUMAWE,GD112200332,BAS006-00, KANTOR POS ,5.179683,97.148423,160,,,,,
11220 - LHOKSEUMAWE,GD112200282,BAS007-00, PUSPA BIOSKOP ,5.175875,97.149379,200,,,,,
11220 - LHOKSEUMAWE,GD112200333,BAS008-00, PASAR ,5.176389,97.151152,200,,,,,
11220 - LHOKSEUMAWE,GD112200283,BAS009-00, PUSONG ,5.172573,97.148412,160,,,,,
11220 - LHOKSEUMAWE,GD112200297,BAS010-00, KTO (TELKOM) ,5.179787,97.146229,315,,,,,
11220 - LHOKSEUMAWE,GD112200298,BAS011-00, SP. IV ,5.180289,97.144948,160,,,,,
11220 - LHOKSEUMAWE,GD112200268,BAS012-00, WISMA HAJI ,5.178254,97.143425,250,,,,,
11220 - LHOKSEUMAWE,GD112200364,BAS013-00, SP.KUTA BLANG ,5.182774,97.138521,200,,,,,
11220 - LHOKSEUMAWE,GD112200399,BAS014-00, JELEPE ,5.185713,97.133973,200,,,,,
11220 - LHOKSEUMAWE,GD112200365,BAS015-00, BLANG MALO ,5.191291,97.139827,160,,,,,
11220 - LHOKSEUMAWE,GD112200299,BAS016-00, PLTD HAGU ,5.196465,97.142467,200,,,,,
11220 - LHOKSEUMAWE,GD112200269,BAS017-00, DEPAN KTR BUPATI ,5.177903,97.140654,250,,,,,
11220 - LHOKSEUMAWE,GD112200366,BAS018-00, JLN INPRES (LAP.TENIS) ,5.186928,97.142695,100,,,,,
